candidate_idx,families,composer_mode,cost_level,best_exp_lcb,classification,trade_count,walkforward_executed_true_pct,drag_penalty,instability_penalty,regime_shift_penalty,robust_score
0,"price,volatility,flow",vote,low,0.0,NO_EDGE,30.25,0.0,,,,
0,"price,volatility,flow",vote,realistic,0.0,NO_EDGE,30.25,0.0,,,,
0,"price,volatility,flow",vote,high,0.0,NO_EDGE,30.25,0.0,,,,
0,"price,volatility,flow",vote,robust_summary,0.0,NO_EDGE,30.25,0.0,98.41610458280282,1.0,0.0,-99.41610458280282
1,"price,volatility,flow",weighted_sum,low,0.0,NO_EDGE,12.625,0.0,,,,
1,"price,volatility,flow",weighted_sum,realistic,0.0,NO_EDGE,12.625,0.0,,,,
1,"price,volatility,flow",weighted_sum,high,0.0,NO_EDGE,12.625,0.0,,,,
1,"price,volatility,flow",weighted_sum,robust_summary,0.0,NO_EDGE,15.625,0.0,94.05593011085159,1.0,0.0,-95.05593011085159
2,"price,volatility,flow",gated,low,0.0,NO_EDGE,15.125,0.0,,,,
2,"price,volatility,flow",gated,realistic,0.0,NO_EDGE,15.125,0.0,,,,
2,"price,volatility,flow",gated,high,0.0,NO_EDGE,15.125,0.0,,,,
2,"price,volatility,flow",gated,robust_summary,0.0,NO_EDGE,15.625,0.0,156.94239811495538,1.0,0.0,-157.94239811495538
3,"price,volatility",vote,low,0.0,NO_EDGE,8.666666666666666,0.0,,,,
3,"price,volatility",vote,realistic,0.0,NO_EDGE,8.666666666666666,0.0,,,,
3,"price,volatility",vote,high,0.0,NO_EDGE,8.666666666666666,0.0,,,,
3,"price,volatility",vote,robust_summary,0.0,NO_EDGE,10.0,0.0,141.10974307467097,1.0,0.0,-142.10974307467097
4,"price,volatility",weighted_sum,low,0.0,NO_EDGE,3.6666666666666665,0.0,,,,
4,"price,volatility",weighted_sum,realistic,0.0,NO_EDGE,3.6666666666666665,0.0,,,,
4,"price,volatility",weighted_sum,high,0.0,NO_EDGE,3.6666666666666665,0.0,,,,
4,"price,volatility",weighted_sum,robust_summary,0.0,NO_EDGE,5.0,0.0,0.0,1.0,0.0,-1.0
